word,frequency
cents,6
overwhelming,6
sessions,6
details,6
forfeit,6
recorded,6
thrown,6
osama,6
whatsoever,6
flip,6
knows,6
epa,6
keeps,6
tremendous,6
investigations,6
combat,6
suspect,6
losing,6
receded,6
sister,6
proven,6
sweeping,6
unison,6
trump,6
alone,6
determination,6
liberties,6
feel,6
cardin,6
grounds,6
raises,6
apparently,6
recall,6
west,5
particularly,5
violence,5
tortured,5
reagan's,5
tomorrow,5
elites,5
unique,5
handing,5
purple,5
engagement,5
elie,5
meeting,5
concept,5
yeah,5
brave,5
70,5
asking,5
rest,5
received,5
pick,5
anymore,5
captured,5
appeal,5
bind,5
aliens,5
54,5
convince,5
direction,5
memorial,5
base,5
mankind,5
rightly,5
anti,5
practice,5
rip,5
services,5
hide,5
fiscal,5
probably,5
impose,5
surprise,5
jordan,5
session,5
understood,5
beating,5
sounds,5
2011,5
birth,5
christ,5
cochran,5
discuss,5
occurred,5
china,5
ability,5
meet,5
advantage,5
choices,5
driving,5
airmen,5
track,5
desperately,5
built,5
secretary,5
ninety,5
points,5
teacher,5
funded,5
abstract,5
honored,5
follows,5
submit,5
certainly,5
array,5
reports,5
soul,5
16,5
dollar,5
encounter,5
statement,5
judgment,5
colleague,5
violating,5
investigate,5
options,5
deeply,5
jfk,5
carry,5
james,5
attention,5
tehran,5
travels,5
henry,5
drive,5
mitch,5
tedcruz,5
perhaps,5
militant,5
underwear,5
naive,5
inspired,5
stopping,5
visa,5
sorry,5
hopes,5
engaged,5
abandoned,5
libertarians,5
solicitor,5
financier,5
thomas,5
publicly,5
programmer,5
plans,5
headed,5
gathered,5
discovered,5
serving,5
citizenship,5
frustration,5
perform,5
ensure,5
ideology,5
includes,5
longer,5
dramatically,5
2009,5
larger,5
prior,5
unhappy,5
y'all,5
hundreds,5
marine,5
turned,5
pulpit,5
resolve,5
seem,5
passing,5
poverty,5
demand,5
seventies,5
suggesting,5
holding,5
manifestation,5
effect,5
employees,5
blind,5
barring,5
actively,5
arm,5
drove,5
founded,5
6,5
online,5
chants,5
sen,5
commonsense,5
october,5
fair,5
tried,5
nearly,5
explain,5
drugs,5
opposition,5
married,5
spirit,5
kept,5
mocking,5
legs,5
outcome,5
public,5
responded,5
fantastic,5
stayed,5
joined,5
capable,5
carrying,5
challenges,5
welcoming,5
grateful,5
accountability,5
large,5
adult,5
advice,5
typically,5
defeated,5
boss,5
tradition,5
match,5
ready,5
likely,5
director,5
wiesel,5
journalists,5
kerry,5
writing,5
wage,5
economy,5
effective,5
introduce,5
ads,5
efforts,5
balance,5
baby,5
dr,5
7,5
heck,5
sponsor,5
solemn,5
reporter,5
roll,5
boots,5
you'll,5
mubarak,5
3,5
kittens,5
hosted,5
conference,5
success,5
virtual,5
patrick,5
acknowledge,5
essentially,5
experience,5
powers,5
releasing,5
building,5
interested,5
richmond,5
nomination,5
fbi,5
earlier,5
philosophy,4
abyss,4
government's,4
talks,4
collectors,4
seventy,4
cause,4
bulwark,4
context,4
remain,4
placate,4
thanks,4
charge,4
trust,4
spoken,4
coach,4
bottom,4
foundational,4
securing,4
joins,4
requires,4
teenage,4
silence,4
wing,4
backbone,4
red,4
watched,4
amir,4
donald,4
israeli,4
fruits,4
destroying,4
advocating,4
burning,4
firearms,4
nbc,4
wielded,4
hills,4
40,4
gosh,4
2,4
bread,4
results,4
cfpb,4
acts,4
activist,4
activism,4
bargain,4
optimistic,4
doesn,4
upset,4
embraces,4
fast,4
increasingly,4
transformed,4
shy,4
obligation,4
changes,4
none,4
lobby,4
ridiculous,4
observed,4
patriot,4
pointed,4
anybody,4
daylights,4
internet,4
circumstance,4
identical,4
pan,4
sermon,4
farmers,4
protection,4
suggests,4
tape,4
virginia,4
nice,4
jefferson,4
traveled,4
editors,4
miracle,4
god's,4
un,4
encouraging,4
slipping,4
laid,4
moved,4
profoundly,4
daughter,4
teaches,4
skyrocketing,4
detailed,4
shot,4
unleash,4
recruiting,4
burdens,4
nominate,4
preserve,4
retired,4
organs,4
credit,4
airport,4
loyalty,4
loves,4
impact,4
resigned,4
price,4
leavenworth,4
38,4
mischief,4
robust,4
prospering,4
starts,4
area,4
supports,4
thats,4
regulation,4
remaining,4
stimulus,4
francis,4
unwilling,4
socialist,4
uprising,4
apply,4
girl,4
boston,4
correctness,4
procedural,4
june,4
darker,4
supposed,4
football,4
preach,4
several,4
lone,4
suddenly,4
developing,4
crushing,4
oppose,4
blessing,4
focused,4
instance,4
holder,4
doubt,4
alphabet,4
existential,4
committing,4
saturday,4
released,4
treat,4
cost,4
inducing,4
congressional,4
resigning,4
applause,4
r,4
husband,4
indispensable,4
eraser,4
soup,4
abolished,4
5,4
introduction,4
forced,4
abuse,4
abandon,4
remotely,4
industry,4
chronicles,4
easier,4
anywhere,4
reasonable,4
certainty,4
afraid,4
named,4
indefensible,4
reach,4
pope,4
infrastructure,4
billionaire,4
avoid,4
letter,4
consist,4
head,4
form,4
russian,4
becomes,4
write,4
us',4
1,4
absolute,4
usa,4
90,4
event,4
neighbor,4
allegiance,4
opposed,4
waiting,4
knowledge,4
2008,4
millennia,4
jason,4
turnout,4
elect,4
wedding,4
issued,4
sufficient,4
global,4
answered,4
unknown,4
highest,4
walking,4
accused,4
magic,4
district,4
welcomes,4
kurds,4
distant,4
filing,4
fell,4
souls,4
sunshine,4
clarion,4
horrible,4
homicidal,4
ties,4
embodied,4
odds,4
early,4
chipotle,4
monument,4
percentage,4
brother,4
reelected,4
irish,4
sons,4
proposal,4
cash,4
buy,4
rubio,4
pounded,4
found,4
outside,4
active,4
volunteer,4
individuals,4
strategic,4
concerns,4
qaddafi,4
365,4
blame,4
needed,4
donor,4
paris,4
strengthen,4
cbs,4
defund,4
servicemen,4
volcanic,4
argument,4
ones,4
threats,4
substance,4
vast,4
240,4
prosperity,4
court's,4
putting,4
entity,4
prospect,4
advance,4
relate,4
exist,4
tools,4
met,4
ballroom,4
understands,4
push,4
kinda,4
resign,4
newspaper,4
providing,4
secures,4
instances,4
believers,4
hearing,4
teeth,4
flow,4
contrast,4
ongoing,4
require,4
gas,4
hekmati,4
standards,4
charity,4
imposes,4
journey,4
average,4
coin,4
specific,4
bay,4
proposition,4
era,4
provides,4
unelected,4
bringing,4
attempt,4
appeals,4
tip,4
likewise,4
who've,4
boycotted,4
colleagues,4
rescind,4
light,4
tens,4
primarily,4
intended,4
hire,4
bomb,4
reported,4
encouraged,4
abc,4
david,4
consistent,4
contribution,4
hates,4
shared,4
meant,4
penny,4
wages,4
unite,4
berlin,4
grand,4
democracies,4
therapy,4
troops,4
self,4
broke,4
regional,4
confirmed,4
indictment,4
paper,4
causing,4
conduct,4
filed,4
egyptian,4
800,3
waging,3
e,3
elevated,3
argue,3
learned,3
expenditures,3
test,3
plenty,3
door,3
bulk,3
nose,3
looting,3
stuff,3
hadn't,3
reclaim,3
commerce,3
michigan,3
joy,3
release,3
forty,3
country's,3
dealing,3
began,3
project,3
nadal,3
joint,3
jurisdiction,3
ideas,3
intervene,3
rebels,3
influence,3
lawful,3
internal,3
iowans,3
remains,3
wash,3
brotherhood,3
bound,3
clearly,3
defense,3
earn,3
45,3
massive,3
endorse,3
returned,3
edge,3
stopped,3
monday,3
card,3
agreements,3
decisive,3
necessary,3
revenue,3
addressed,3
alternative,3
boat,3
piece,3
examples,3
communicated,3
refugee,3
treaty,3
car,3
hey,3
missile,3
occurring,3
repressive,3
embraced,3
locked,3
ladder,3
marginal,3
appear,3
precious,3
opposing,3
thumb,3
insult,3
black,3
product,3
produce,3
competitors,3
dissenters,3
column,3
valuable,3
murders,3
hired,3
rich,3
unable,3
weaken,3
telling,3
daddy,3
loved,3
youngest,3
august,3
backwards,3
reading,3
persecuted,3
liberals,3
burden,3
unanimous,3
attainable,3
recognize,3
today's,3
23,3
naked,3
producing,3
daring,3
4,3
immigrants,3
worked,3
soviet,3
jurist,3
ticket,3
impossible,3
lifting,3
beat,3
possible,3
strict,3
endure,3
certain,3
lit,3
militants,3
drank,3
tech,3
conflict,3
bought,3
hero,3
definition,3
smarter,3
perfectly,3
beck,3
descended,3
guess,3
affairs,3
everywhere,3
stepping,3
sentenced,3
latin,3
kid,3
chairman,3
judiciary,3
conversation,3
rising,3
facts,3
drag,3
compromise,3
courtesy,3
viewed,3
clock,3
people's,3
weakness,3
forget,3
somewhere,3
jordanian,3
accident,3
y,3
unimaginable,3
type,3
moves,3
keys,3
marco,3
wild,3
march,3
description,3
154,3
nature,3
wish,3
riding,3
therefore,3
europe,3
honoring,3
relentless,3
privacy,3
request,3
radio,3
wicked,3
refuse,3
attend,3
failing,3
unanimously,3
pulled,3
rooms,3
pounds,3
fellow,3
keeping,3
earthquake,3
council,3
sides,3
controlled,3
80,3
caroline,3
leadership's,3
strike,3
noted,3
showboat,3
names,3
accelerate,3
disastrous,3
ammunition,3
fabulous,3
she's,3
truly,3
communist,3
communism,3
competent,3
lasting,3
raising,3
governments,3
followed,3
wilmington,3
campaigned,3
mandates,3
teenager,3
invitation,3
african,3
disapproval,3
contact,3
concrete,3
everyday,3
correct,3
inevitably,3
1st,3
presidency,3
reignited,3
conspiracy,3
baptist,3
appreciate,3
super,3
financial,3
2007,3
abandoning,3
nationwide,3
resting,3
versus,3
bureaucrats,3
bumi,3
chinese,3
widely,3
shake,3
murderous,3
momentum,3
o'neill,3
incentives,3
comply,3
pleased,3
languishing,3
scare,3
helpful,3
