bigram phrase,frequency
it has,10
we've had,10
had been,10
we win,10
i had,10
home and,10
same thing,10
to vote,9
any of,9
government the,9
republican party,9
him to,9
why the,9
president obama's,9
it came,9
one in,9
consequence of,9
a postcard,9
i know,9
that if,9
are here,9
was going,9
for this,9
power of,9
to kill,9
wanted to,9
to defeat,9
that's what,9
are a,9
just like,9
it wasn't,9
says we,9
in their,9
we're going,9
amendment rights,9
the campaign,9
be with,9
and there,9
is on,9
an investigation,9
democratic debate,9
republican majorities,9
stop this,9
four years,9
acquiring nuclear,9
candidate for,9
a man,9
talk to,9
been a,9
reid and,9
january 2017,9
year old,9
illegal and,9
say this,9
listening to,9
we're not,9
then we,9
i ll,9
a hill,9
i'm not,9
way if,9
ask you,9
he never,9
i'm gonna,9
lobbyists and,9
a real,9
more dangerous,9
will stop,9
you what,9
majority leader,9
the greatest,9
leaders in,9
pass a,9
from our,9
the lead,9
republican donors,9
under no,9
i ask,9
taxpayer money,9
how many,9
pattern of,9
would note,9
to look,9
fight on,9
know if,9
know i,9
of religious,9
the simple,9
how we,9
to undermine,9
this administration,9
care reform,9
keep this,9
the uss,9
ayatollah khomeini,9
shining city,9
you when,9
will instruct,9
reagan democrats,9
little boy,9
how to,9
around the,9
are now,9
iran and,9
as president,9
and unconstitutional,9
committed to,9
fill out,9
obamacare in,9
death to,9
says the,9
became the,9
safety and,9
hundred and,9
united nations,9
and me,9
litigating against,9
came from,9
said that,9
our allies,9
abiding citizens,9
we see,9
bernie sanders,9
city on,9
nuclear weapon,9
terrorism and,9
get burned,9
you a,9
burned again,9
will we,9
man who,9
i mentioned,9
say that,9
in jail,9
assault on,9
that we're,9
any and,9
the grass,9
u s,9
greatest national,9
a private,9
the exact,9
he has,9
up on,9
she said,9
security threat,9
to his,9
the ten,9
of american,9
you in,9
a word,9
forward to,9
way to,8
in addition,8
watch these,8
fighting to,8
little girls,8
directly to,8
administration has,8
the difference,8
the lives,8
the world's,8
deal goes,8
and who,8
then i,8
no no,8
never had,8
do so,8
this race,8
to every,8
now you,8
not willing,8
her taxes,8
the budget,8
stand together,8
where we,8
to my,8
most important,8
in cuba,8
and for,8
a theocratic,8
to pass,8
honor the,8
if a,8
as he,8
here at,8
the land,8
if that,8
comes from,8
have lost,8
such a,8
we won't,8
people like,8
what happens,8
is standing,8
that question,8
me i,8
deal with,8
irs and,8
pay for,8
seen the,8
has no,8
there were,8
as it,8
should abolish,8
private organization,8
no circumstances,8
years of,8
election in,8
he says,8
party and,8
them to,8
nancy pelosi,8
many fear,8
america the,8
fed up,8
to talk,8
have never,8
our own,8
president has,8
so that,8
at all,8
you that,8
just how,8
now if,8
not the,8
get a,8
other side,8
parenthood is,8
the biggest,8
we would,8
all that,8
his heart,8
court of,8
to secure,8
to any,8
to open,8
of weeks,8
million dollars,8
republican candidate,8
one side,8
you will,8
into a,8
rise up,8
the family,8
the radical,8
they want,8
will die,8
and democrats,8
tidal wave,8
imagine millions,8
led the,8
for every,8
will veto,8
were told,8
on those,8
but it,8
we saw,8
liberty university,8
it doesn't,8
will say,8
said you,8
think we,8
the aisle,8
much more,8
things that,8
bad guys,8
go after,8
we get,8
the national,8
single illegal,8
lives of,8
every bit,8
to use,8
defending the,8
are frustrated,8
leadership will,8
growth and,8
when you're,8
of new,8
members of,8
the citizens,8
to thank,8
are you,8
you is,8
look forward,8
uss supreme,8
to table,8
us and,8
regulators and,8
thing that,8
can we,8
to shreds,8
republicans will,8
our campaign,8
may have,8
said i,8
shreds this,8
republican candidates,8
because they,8
question is,8
that makes,8
i'm elected,8
on my,8
we're seeing,8
addition to,8
obamacare and,8
americans rose,8
a bad,8
over here,8
than the,8
repeal every,8
but he,8
as they,8
home the,8
murder americans,8
wanna talk,8
to lead,8
and portable,8
reagan and,8
principled conservative,8
