word,frequency
brain,4
scared,4
enable,4
kill,4
cedar,4
slipped,4
arrivals,4
rugby,4
warm,4
compete,4
wedding,4
dominated,4
gathered,4
distressed,4
nursing,4
regime,4
wic,4
underneath,4
crash,4
slowly,4
abdullah,4
2006,4
situated,4
attempting,4
excitement,4
straightforwardly,4
harm,4
resigned,4
min,4
trio,4
dependent,4
dire,4
peel,4
cup,4
phrase,4
promises,4
knees,4
affairs,4
hunger,4
sudan,4
sorts,4
eyes,4
races,4
roosevelt's,4
tragically,4
bailout,4
instant,4
grants,4
systemic,4
movements,4
popular,4
sad,4
centers,4
homophobia,4
onto,4
books,4
sentenced,4
dropping,4
owning,4
aid,4
shows,4
borders,4
jumped,4
pictures,4
size,4
fined,4
immoral,4
fully,4
bball,4
characters,4
red,4
feedback,4
towards,4
goods,4
facility,4
florida,4
um,4
lovable,4
turned,4
reverse,4
senses,4
crap,4
schedule,4
wives,4
convictions,4
bottoms,4
influence,4
french,4
occupied,4
jury,4
warmer,4
endless,4
headlines,4
facilities,4
conversation,4
guilty,4
brings,4
nichols,4
socialistic,4
visited,4
otherwise,4
names,4
husbands,4
lebanon,4
cowards,4
divided,4
prediction,4
ease,4
resulted,4
motorists,4
scientist,4
trickle,4
severe,4
lifting,4
globally,4
stigmatize,4
examine,4
addresses,4
picking,4
encounters,4
sixteen,4
fairly,4
incumbent,4
helps,4
bloody,4
wise,4
experiencing,4
elementary,4
caretakers,4
tomatoes,4
wish,4
mortality,4
offenses,4
latter,4
aidid,4
pages,4
excess,4
defeating,4
solve,4
defending,4
classes,4
walking,4
ended,4
uncomfortable,4
shin,4
catholics,4
essentially,4
disconnected,4
2011,4
assad,4
extend,4
vietnam,4
flying,4
crashed,4
shuttle,4
resolve,4
electorate,4
exam,4
block,4
organize,4
banana,4
reserves,4
drink,4
recidivism,4
reaching,4
fields,4
abused,4
funnel,4
decline,4
investigate,4
campuses,4
colorado,4
urgent,4
waterfront,4
donations,4
individualism,4
indicated,4
20th,4
relief,4
accomplished,4
gender,4
reforming,4
kills,4
central,4
42,4
mile,4
attitude,4
mandatory,4
junior,4
fighters,4
obscenity,4
suggests,4
lay,4
suddenly,4
charleston,4
traumatic,4
f35,4
nap,4
victimization,4
cartels,4
incentives,4
stopped,4
cell,4
impacted,4
traffic,4
ship,4
bread,4
warfare,4
aliens,4
moderate,4
maine,4
rein,4
mess,4
orders,4
overdue,4
excited,4
birthright,4
drops,4
master,4
core,4
jones,4
comprehension,4
inadequate,4
ol,4
priority,4
vid,4
oh,4
general,4
surprised,4
trends,4
minneapolis,4
rural,4
papers,4
lessons,4
focused,4
upbringing,4
firing,4
700,4
ordered,4
jimmy,4
hidden,4
except,4
friend,4
listening,4
landed,4
citizen,4
europe,4
lafollette,4
rosa,4
hollywood,4
lying,4
enthusiastic,4
fame,4
prejudice,4
deregulate,4
homicidal,4
solid,4
phoenix,4
boat,4
equally,4
saving,4
suffered,4
taxpayer,4
