bigram phrase,frequency
a new,38
to him,38
be in,38
we didn't,38
he's gonna,38
you will,38
a wonderful,38
where i,38
we protect,38
was really,38
know and,38
ok i,38
said they,38
is we,38
does it,38
two and,38
find out,38
good but,38
if the,38
really good,38
think you,38
big big,38
so good,38
you but,38
and to,38
vote for,38
have an,38
george patton,38
they give,38
we gonna,38
they won't,36
that's going,36
that much,36
the budget,36
have these,36
know it,36
could do,36
they make,36
as an,36
do with,36
where the,36
post office,36
deal with,36
at it,36
but he's,36
along with,36
in iraq,36
doing this,36
next day,36
not the,36
and gentlemen,36
somebody else,36
states and,36
you that,36
talks about,36
the cover,36
health care,36
much more,36
24 days,36
jeb bush,36
was just,36
you got,36
i win,36
the top,36
you just,36
ladies and,36
be great,36
think we,36
now we're,36
reason i,36
and these,36
the second,36
they know,36
that doesn't,36
and nobody,36
thing and,36
special interests,36
is this,36
way we,36
but this,36
up i,36
this we,36
country great,36
at what,36
are really,36
time you,36
wounded warriors,36
up a,36
in there,36
so far,36
do is,36
back there,36
the job,36
it's all,36
and his,36
great company,36
right but,36
that would,34
but when,34
looking for,34
months ago,34
get nothing,34
have this,34
that right,34
with all,34
he did,34
i started,34
the guys,34
people the,34
this so,34
million people,34
san francisco,34
to work,34
a massive,34
never gonna,34
you you,34
give me,34
in california,34
do they,34
to just,34
didn't know,34
they call,34
and yet,34
i guarantee,34
if you're,34
on that,34
let them,34
i read,34
know i'm,34
this stuff,34
they actually,34
know this,34
if it's,34
the back,34
within a,34
insurance companies,34
other guys,34
you take,34
are great,34
i'd like,34
did the,34
and our,34
better and,34
so he,34
shouldn't be,34
are they,34
president obama,34
are gonna,34
the reasons,34
and every,34
want the,34
of his,34
is because,34
way you,34
is just,34
that's like,34
ever before,34
know a,34
the democrats,34
to myself,34
strong and,34
bin laden,34
the real,34
of jobs,34
i used,34
good guy,34
i watch,34
great job,34
me that,34
don't go,34
make sure,34
general douglas,34
will you,34
wall and,34
matter where,34
we gave,34
in iowa,34
than the,34
we spend,34
that means,32
19 trillion,32
that one,32
the insurance,32
said he's,32
saying it,32
read the,32
all those,32
me the,32
make the,32
a huge,32
them we,32
years old,32
with them,32
and they'll,32
to kill,32
gonna go,32
ago i,32
me so,32
don't say,32
from china,32
doesn't work,32
it that,32
remember this,32
was all,32
come from,32
that she,32
has the,32
know about,32
that will,32
have never,32
know so,32
