trigram phrase,frequency
people don't know,18
dream is dead,18
to get it,18
he said that,18
19 trillion dollars,18
may be the,18
the old post,18
the world is,18
our country we,18
was talking about,18
how can you,18
have the money,18
to go back,18
that and then,18
thousand years ago,18
know i have,18
is dead but,18
that was the,18
back on the,18
of the united,18
that i have,18
more than that,18
a fortune and,18
do it but,18
is a disaster,18
because it's so,18
the way i'm,18
of these guys,18
don't want it,18
made in the,18
we can have,18
had a big,18
the toughest gun,18
united states is,18
i get a,18
believe it or,18
have the biggest,18
the second amendment,18
gonna do it,18
mean we have,18
what they do,18
about osama bin,18
to get rid,18
come up to,18
they look at,18
i took a,18
it because i,18
that don't know,18
and seventy nine,18
our country so,18
and they can't,18
know i said,18
we don't use,18
to me i,18
it's so important,18
it is a,18
is a movement,18
radical islamic terrorism,18
i love this,18
to start winning,18
they said they,18
who the hell,18
start winning again,18
love you i,18
five million dollars,18
almost a hundred,18
who they are,18
she doesn't have,18
to thank everybody,18
running for president,18
it's a great,18
gonna make our,18
come up with,18
the way the,18
i will be,18
me tell you,18
we have so,18
i mean they,18
through the roof,18
is gonna be,18
he said he,18
the people of,18
and they go,18
let you know,18
it's not gonna,18
fifteen years ago,18
in the country,18
we're gonna build,18
like to be,18
two thousand years,18
turned out to,18
tell you the,18
billions of dollars,18
i had to,18
have been a,18
but he was,18
but i want,18
don't know how,18
what are the,18
are great people,18
when i started,18
i did the,18
anymore we don't,18
the most incredible,18
you would have,18
the right people,18
lot of good,18
i think the,18
johnson and johnson,18
to run against,18
it or not,18
nobody's gonna mess,18
i think is,18
in favor of,18
a hundred pages,18
under budget and,18
happened with the,18
would you like,18
great again and,18
are the people,18
laws in the,18
what i said,18
bomb the oil,18
and the reason,18
that's the way,18
and millions of,18
the wounded warriors,18
the time i,18
of it and,18
let me tell,18
i like that,18
people and we,18
gun free zone,18
used to say,18
donald trump is,18
back to the,16
that's a lot,16
a good guy,16
so we had,16
you think general,16
many of them,16
people that they,16
and i mean,16
me the other,16
trade center came,16
believe me i,16
the time and,16
that guy right,16
don't care about,16
do something about,16
it takes guts,16
special interests and,16
but a lot,16
all sorts of,16
a job and,16
been saying it,16
this country and,16
lot of heat,16
have a hundred,16
coming out of,16
i said why,16
tens of thousands,16
a year ago,16
the case of,16
he goes to,16
as much as,16
i don't wanna,16
